Popularity	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_in min/ms	time_signature	Class
46	0.601	0.321	4	-11.354	1	0.0441	0.528	7.39E-06	0.115	0.519	169.739	3.703383333	3	0
44	0.402	0.443	9	-7.389	1	0.0269	0.409	0.051	0.116	0.163	82.944	3.76515	3	0
36	0.452	0.205	1	-10.901	1	0.0524	0.899	0.000143	0.108	0.548	179.224	3.77445	3	0
43	0.358	0.423	7	-7.828	1	0.0338	0.565	3.38E-05	0.0846	0.309	182.959	3.77666667	3	0
33	0.706	0.535	9	-9.643	1	0.0347	0.139	0.00146	0.309	0.687	116.001	3.7875	3	0
55	0.611	0.313	4	-10.242	1	0.0339	0.835	0.000315	0.111	0.378	134.858	3.87845	3	0
59	0.44	0.269	5	-10.769	1	0.0262	0.914	0.261	0.132	0.138	103.877	3.906383333	3	0
24	0.253	0.375	7	-9.15	1	0.0295	0.8	0.00023	0.11	0.132	174.782	3.92645	3	0
48	0.481	0.134	1	-17.099	1	0.0461	0.608	9.02E-05	0.0992	0.0753	120.27	3.937933333	3	0
32	0.424	0.319	4	-9.239	1	0.0251	0.722	0.0333	0.142	0.385	102.337	3.942216667	3	0
67	0.674	0.413	2	-7.816	1	0.0274	0.836	1.95E-05	0.098	0.503	124.893	3.96511667	3	0
41	0.351	0.353	10	-11.15	1	0.084	0.889	2.12E-06	0.0903	0.564	201.789	3.972216667	3	0
18	0.27	0.441	11	-10.699	1	0.0562	0.906	0.0077	0.131	0.181	172.764	3.987533333	3	0
17	0.305	0.646	5	-8.794	0	0.0421	0.0918	0.118	0.119	0.397	179.766	4.04	3	0
23	0.509	0.289	4	-8.3	1	0.0286	0.88	0.0036	0.111	0.156	158.799	4.05045	3	0
39	0.391	0.291	8	-9.408	1	0.0326	0.867	0.00207	0.104	0.107	121.171	4.110066667	3	0
41	0.304	0.218	10	-10.744	1	0.0334	0.46	0.00434	0.0828	0.0707	150.514	4.12215	3	0
19	0.456	0.353	9	-9.607	1	0.0349	0.874	9.82E-06	0.107	0.335	124.318	4.267633333	3	0
20	0.558	0.596	1	-9.943	0	0.0607	0.0573	0.0167	0.0776	0.244	169.925	4.276616667	3	0
31	0.495	0.542	4	-9.693	0	0.038	0.761	0.012	0.0872	0.362	140.858	4.680833333	3	0
63	0.499	0.21	1	-9.122	1	0.042	0.891	1.17E-05	0.726	0.39	140.23	4.76445	3	0
41	0.481	0.385	4	-12.981	1	0.0458	0.62	0.117	0.114	0.363	148.504	4.78888333	3	0
50	0.457	0.379	6	-13.618	1	0.0342	0.434	0.000276	0.202	0.363	78.49	4.83466667	3	0
57	0.409	0.0533	8	-16.276	1	0.0517	0.932	1.13E-05	0.113	0.172	67.36	4.9211	3	0
33	0.601	0.728	4	-10.469	1	0.0436	0.378	0.726	0.368	0.862	137.99	5.09355	3	0
49	0.359	0.17	4	-10.915	1	0.0308	0.91	0.000238	0.11	0.178	137.062	5.12186667	3	0
16	0.391	0.577	9	-6.53	1	0.0324	0.488	9.34E-05	0.0758	0.708	173.933	5.378216667	3	0
7	0.575	0.645	7	-6.421	1	0.0348	0.204	0.00013	0.194	0.166	123.955	5.658033333	3	0
34	0.466	0.69	4	-7.007	1	0.0351	0.529	0.0597	0.102	0.385	134.899	5.988183333	3	0
8	0.503	0.785	4	-5.826	1	0.187	0.263	4.07E-06	0.108	0.48	148.045	8.47275	3	0
7	0.526	0.453	9	-10.678	1	0.027	0.476	0.287	0.103	0.478	95.016	1.027483333	4	0
6	0.677	0.736	4	-9.916	1	0.0432	0.274	0.146	0.195	0.974	129.933	1.365333333	4	0
64	0.758	0.187	2	-18.963	1	0.0437	0.927	0.1	0.122	0.78	115.75	1.70333333	4	0
42	0.711	0.167	5	-13.319	0	0.0331	0.836	1.27E-06	0.1	0.476	82.842	1.76068333	4	0
33	0.381	0.565	7	-8.546	1	0.0314	0.577	1.83E-06	0.127	0.451	78.045	2.097333333	4	0
47	0.566	0.49	9	-11.703	1	0.0402	0.646	7.34E-05	0.212	0.601	85.615	2.14755	4	0
12	0.699	0.662	8	-6.464	1	0.0364	0.00954	0.814	0.107	0.224	101.997	2.2353	4	0
68	0.654	0.336	6	-12.825	1	0.0379	0.858	0.385	0.0786	0.947	176.083	2.24	4	0
25	0.446	0.617	1	-7.883	1	0.0478	0.582	0.00292	0.0972	0.0696	159.768	2.25	4	0
73	0.686	0.127	7	-14.361	1	0.0342	0.754	1.41E-05	0.0573	0.372	93.699	2.30645	4	0
8	0.538	0.828	9	-11.304	1	0.0831	0.391	0.744	0.146	0.773	128.03	2.353733333	4	0
22	0.487	0.773	5	-8.194	1	0.0441	0.0516	0.062	0.233	0.565	169.981	2.35765	4	0
6	0.688	0.743	5	-7.857	0	0.0489	0.506	0.00347	0.0853	0.773	100.014	2.46	4	0
50	0.5	0.37	9	-11.581	1	0.0376	0.949	0.0761	0.104	0.37	78.785	2.556883333	4	0
49	0.771	0.221	10	-10.144	1	0.0382	0.908	2.20E-06	0.294	0.431	99.793	2.5794	4	0
63	0.729	0.447	5	-9.038	1	0.0387	0.598	0.000279	0.116	0.595	108.837	2.58733333	4	0
38	0.382	0.594	1	-8.402	1	0.0528	0.549	1.81E-06	0.107	0.521	160.251	2.6125	4	0
30	0.593	0.857	10	-5.858	0	0.108	0.255	0.0035	0.205	0.448	124.842	2.632	4	0
56	0.572	0.243	4	-12.085	1	0.0282	0.93	0.00421	0.0908	0.46	99.825	2.68035	4	0
32	0.485	0.262	7	-13.286	1	0.0263	0.978	5.99E-05	0.117	0.332	98.536	2.70688333	4	0
36	0.373	0.436	3	-14.528	1	0.0344	0.781	0.326	0.149	0.382	99.793	2.74	4	0
71	0.626	0.816	9	-10.593	1	0.131	0.237	1.80E-06	0.104	0.798	105.307	2.74688333	4	0
22	0.296	0.764	6	-8.241	1	0.0563	0.118	0.823	0.145	0.113	167.999	2.775066667	4	0
63	0.628	0.248	1	-13.304	1	0.032	0.814	0.0602	0.111	0.646	125.298	2.83695	4	0
51	0.569	0.129	7	-19.854	0	0.0401	0.942	0.0251	0.0963	0.15	93.894	2.87556667	4	0
38	0.587	0.0984	2	-18.198	1	0.0424	0.87	0.000143	0.103	0.221	124.808	2.887183333	4	0
45	0.573	0.113	7	-16.915	1	0.0461	0.965	0.00113	0.11	0.252	136.246	2.8988	4	0
40	0.699	0.743	11	-8.258	0	0.0377	0.258	0.0685	0.187	0.736	108.157	2.8997	4	0
27	0.553	0.616	5	-6.169	1	0.0344	0.0117	1.43E-05	0.162	0.29	84.954	2.9084	4	0
43	0.565	0.136	11	-12.179	1	0.0299	0.943	1.68E-06	0.0952	0.349	83.013	2.91866667	4	0
43	0.7	0.252	5	-14.384	1	0.0308	0.921	2.89E-05	0.117	0.552	97.51	2.92223333	4	0
62	0.559	0.466	5	-6.769	1	0.0362	0.315	0.0039	0.0933	0.623	117.21	2.93378333	4	0
21	0.567	0.461	1	-7.124	1	0.0459	0.00107	0.136	0.4	0.184	83.021	2.939766667	4	0
48	0.534	0.404	2	-12.106	1	0.0409	0.044	6.60E-05	0.189	0.693	170.125	2.94485	4	0
61	0.491	0.809	10	-7.68	1	0.0332	0.33	0.158	0.0874	0.656	74.008	2.9561	4	0
41	0.425	0.284	4	-12.225	1	0.0287	0.89	0.0423	0.112	0.206	97.976	2.956466667	4	0
56	0.441	0.138	11	-12.136	1	0.0352	0.93	0.00023	0.105	0.119	85.492	2.96531667	4	0
43	0.415	0.355	6	-10.494	0	0.0316	0.985	0.0932	0.103	0.36	113.993	2.98845	4	0
37	0.636	0.256	3	-12.127	1	0.0353	0.89	0.00414	0.117	0.274	104.921	2.98955	4	0
19	0.532	0.669	9	-9.695	0	0.0315	0.137	0.247	0.326	0.537	133.005	2.995233333	4	0
29	0.589	0.102	7	-16.807	1	0.0357	0.978	0.000245	0.115	0.424	79.547	3.016283333	4	0
61	0.794	0.408	2	-11.661	0	0.102	0.788	0.00145	0.105	0.576	93.916	3.019	4	0
28	0.462	0.659	4	-7.343	1	0.0268	0.526	0.189	0.231	0.72	82.984	3.02925	4	0
44	0.745	0.61	7	-6.635	1	0.028	0.446	4.64E-05	0.0924	0.781	117.008	3.03	4	0
48	0.59	0.214	11	-12.023	0	0.0412	0.895	0.00986	0.105	0.167	134.804	3.05348333	4	0
18	0.509	0.294	5	-16.365	0	0.0464	0.955	0.933	0.0951	0.0338	120.102	3.061933333	4	0
60	0.419	0.269	7	-9.388	1	0.0356	0.626	1.83E-05	0.116	0.152	121.695	3.087133333	4	0
53	0.327	0.168	9	-13.988	0	0.0499	0.912	0.0245	0.0973	0.0999	76.779	3.09036667	4	0
37	0.827	0.519	4	-9.547	1	0.0337	0.768	0.00328	0.11	0.812	119.003	3.09395	4	0
31	0.683	0.488	2	-8.733	1	0.0266	0.605	0.0554	0.13	0.424	113.387	3.095466667	4	0
49	0.375	0.636	7	-5.973	0	0.0273	0.174	1.96E-05	0.236	0.493	148.101	3.098	4	0
33	0.536	0.288	10	-9.212	1	0.0289	0.956	4.28E-05	0.112	0.119	115.725	3.1	4	0
35	0.624	0.727	2	-7.194	1	0.0316	0.21	0.000191	0.0999	0.193	116.039	3.10063333	4	0
33	0.576	0.451	9	-9.024	0	0.0275	0.415	0.139	0.128	0.302	109.98	3.108483333	4	0
60	0.685	0.25	4	-15.138	1	0.0416	0.911	0.000306	0.108	0.317	103.387	3.11325	4	0
48	0.557	0.372	8	-12.523	1	0.0344	0.693	1.16E-05	0.105	0.287	155.99	3.11538333	4	0
50	0.44	0.324	6	-9.468	1	0.0307	0.777	1.41E-06	0.0621	0.328	79.382	3.14155	4	0
53	0.614	0.546	2	-6.858	1	0.0296	0.625	2.38E-06	0.0957	0.435	87.353	3.155483333	4	0
46	0.619	0.248	1	-15.649	0	0.0274	0.844	5.28E-05	0.137	0.289	104.872	3.179116667	4	0
51	0.498	0.141	11	-17.14	0	0.0386	0.956	0.00348	0.109	0.352	139.099	3.18725	4	0
37	0.65	0.616	6	-8.857	0	0.031	0.0923	0.00775	0.118	0.906	149.924	3.20755	4	0
49	0.654	0.237	1	-11.855	1	0.0342	0.945	0.0405	0.11	0.206	136.013	3.232266667	4	0
52	0.493	0.556	7	-11.351	1	0.102	0.714	0.0439	0.287	0.409	146.057	3.23288333	4	0
56	0.636	0.383	11	-9.381	1	0.0434	0.585	2.24E-06	0.122	0.213	72.871	3.23445	4	0
33	0.457	0.291	6	-13.43	1	0.0325	0.548	0.209	0.175	0.193	77.904	3.242666667	4	0
22	0.682	0.747	2	-4.948	1	0.0552	0.294	0.0506	0.353	0.869	134.974	3.249183333	4	0
24	0.59	0.108	11	-14.382	1	0.0291	0.935	1.22E-05	0.113	0.336	86.294	3.257783333	4	0
25	0.352	0.483	9	-9.116	1	0.0542	0.136	0.00274	0.112	0.362	164.016	3.258816667	4	0
37	0.535	0.0598	5	-17.601	1	0.0319	0.977	0.000375	0.108	0.322	91.891	3.271283333	4	0
56	0.437	0.104	3	-22.533	1	0.0307	0.893	0.00124	0.11	0.544	101.718	3.27445	4	0
53	0.628	0.345	1	-12.505	1	0.0289	0.425	0.0165	0.119	0.116	99.991	3.294	4	0
31	0.564	0.359	9	-11.059	1	0.0274	0.76	0.00274	0.0821	0.28	131.037	3.307333333	4	0
19	0.458	0.529	8	-6.566	1	0.0286	0.286	3.22E-06	0.107	0.0767	119.924	3.3191	4	0
76	0.414	0.161	7	-22.32	0	0.0318	0.883	0.000223	0.117	0.423	159.375	3.32488333	4	0
43	0.333	0.58	7	-7.553	1	0.0265	0.617	0.408	0.258	0.655	180.227	3.336033333	4	0
55	0.636	0.454	5	-16.548	1	0.0615	0.599	0.00343	0.304	0.806	155.547	3.33733333	4	0
2	0.611	0.35	5	-14.48	1	0.0356	0.499	7.84E-06	0.0844	0.36	76.064	3.34298333	4	0
51	0.643	0.436	1	-12.245	1	0.0273	0.724	0.459	0.11	0.422	91.485	3.34666667	4	0
50	0.591	0.415	6	-6.936	1	0.0437	0.424	0.000299	0.111	0.197	90.483	3.3512	4	0
52	0.536	0.286	2	-12.444	1	0.0287	0.41	0.00671	0.136	0.242	89.74	3.36045	4	0
67	0.702	0.244	4	-15.286	0	0.0355	0.431	0.00867	0.0963	0.444	141.317	3.36911667	4	0
37	0.641	0.18	2	-14.498	1	0.0446	0.923	0.000466	0.0739	0.764	93.232	3.375116667	4	0
28	0.606	0.452	4	-10.376	1	0.0394	0.815	2.24E-05	0.118	0.657	126.687	3.37795	4	0
54	0.538	0.272	11	-10.783	1	0.0381	0.904	0.000613	0.108	0.316	118.382	3.38651667	4	0
31	0.686	0.382	10	-9.37	1	0.0319	0.518	3.63E-05	0.104	0.273	132.961	3.38845	4	0
35	0.836	0.335	5	-9.608	1	0.0325	0.749	0.0831	0.0884	0.479	128.939	3.391783333	4	0
47	0.551	0.832	2	-4.629	1	0.0903	0.364	0.067	0.233	0.303	122.065	3.392466667	4	0
39	0.692	0.249	10	-11.397	0	0.048	0.904	9.16E-06	0.233	0.309	103.182	3.39755	4	0
69	0.795	0.564	7	-10.482	1	0.0392	0.0934	0.000531	0.0631	0.961	124.166	3.39821667	4	0
43	0.426	0.484	7	-12.239	1	0.0397	0.152	1.13E-05	0.151	0.509	123.578	3.40898333	4	0
42	0.435	0.153	10	-11.536	1	0.0499	0.953	0.00155	0.11	0.326	182.647	3.42	4	0
43	0.473	0.753	7	-4.878	0	0.1	0.549	2.57E-06	0.168	0.87	169.695	3.4247	4	0
46	0.467	0.329	2	-11.429	1	0.0295	0.662	0.0445	0.096	0.362	108.777	3.43355	4	0
45	0.353	0.301	9	-12.755	1	0.0366	0.849	0.291	0.102	0.321	139.911	3.4416	4	0
33	0.557	0.264	9	-10.625	1	0.028	0.874	1.16E-05	0.0984	0.433	77.099	3.445166667	4	0
49	0.728	0.572	2	-10.043	1	0.0348	0.242	4.10E-05	0.102	0.744	110.346	3.449916667	4	0
33	0.753	0.48	6	-8.433	0	0.0435	0.933	0.000176	0.287	0.358	136.798	3.450966667	4	0
1	0.595	0.543	7	-5.614	1	0.0232	0.164	0.0324	0.13	0.605	96.043	3.457116667	4	0
54	0.675	0.195	7	-13.465	0	0.0346	0.868	2.03E-06	0.126	0.275	91.935	3.46466667	4	0
51	0.428	0.447	6	-10.755	0	0.0377	0.706	0.00393	0.195	0.532	79.222	3.477483333	4	0
49	0.573	0.341	7	-11.324	1	0.0327	0.854	0.0436	0.107	0.334	128.989	3.479116667	4	0
34	0.315	0.565	11	-8.667	1	0.0369	0.65	0.671	0.107	0.0617	99.49	3.48	4	0
44	0.425	0.314	2	-9.072	1	0.0312	0.924	0.0124	0.129	0.311	73.69	3.49645	4	0
38	0.564	0.368	7	-10.228	1	0.0281	0.587	0.681	0.18	0.544	139.01	3.497283333	4	0
29	0.763	0.498	9	-7.278	1	0.0746	0.192	0.0025	0.0781	0.603	143.949	3.497583333	4	0
57	0.545	0.365	6	-8.97	1	0.0396	0.136	4.86E-06	0.201	0.233	150.125	3.50276667	4	0
34	0.674	0.231	3	-14.035	1	0.0308	0.924	2.57E-05	0.119	0.26	130.029	3.50365	4	0
51	0.362	0.268	11	-11.272	1	0.0351	0.926	0.0576	0.346	0.327	123.587	3.505883333	4	0
59	0.549	0.418	6	-13.172	1	0.0423	0.788	0.123	0.112	0.692	171.98	3.506283333	4	0
31	0.495	0.237	2	-17.701	1	0.0333	0.892	0.00638	0.0865	0.541	77.376	3.52445	4	0
50	0.438	0.383	2	-12.527	1	0.0322	0.655	0.0133	0.127	0.322	83.823	3.5253	4	0
77	0.575	0.67	7	-10.39	1	0.0318	0.343	4.95E-06	0.129	0.74	139.191	3.5263	4	0
44	0.362	0.142	7	-14.888	1	0.0378	0.891	0.00021	0.0983	0.19	79.722	3.528216667	4	0
22	0.494	0.424	6	-10.189	1	0.0326	0.143	9.46E-06	0.1	0.176	119.981	3.530566667	4	0
63	0.729	0.546	7	-9.305	1	0.0285	0.547	0.00287	0.0651	0.406	119.941	3.54378333	4	0
40	0.645	0.329	2	-16.642	1	0.0419	0.239	0.892	0.375	0.184	128.099	3.545833333	4	0
55	0.476	0.318	10	-10.953	1	0.0304	0.78	2.00E-06	0.104	0.311	126.495	3.55045	4	0
41	0.469	0.607	7	-10.174	1	0.0371	0.369	0.0124	0.119	0.287	184.986	3.55395	4	0
47	0.738	0.43	7	-9.749	1	0.0295	0.377	1.03E-05	0.0945	0.374	114.992	3.56178333	4	0
28	0.686	0.51	11	-7.495	1	0.0287	0.392	1.17E-05	0.0867	0.835	97.993	3.578033333	4	0
59	0.603	0.494	2	-10.27	1	0.0301	0.428	0.000171	0.0894	0.729	147.814	3.58266667	4	0
46	0.8	0.484	1	-7.583	1	0.036	0.679	2.49E-05	0.115	0.619	104.978	3.584883333	4	0
53	0.532	0.844	7	-6.445	1	0.0398	0.00757	6.19E-06	0.173	0.661	109.966	3.59155	4	0
52	0.53	0.283	5	-11.962	1	0.0367	0.876	0.000141	0.106	0.282	114.982	3.60288333	4	0
30	0.39	0.588	2	-8.032	1	0.0341	0.693	0.00174	0.108	0.434	122.284	3.60955	4	0
52	0.36	0.209	2	-12.289	1	0.0322	0.77	5.10E-05	0.129	0.213	75.349	3.61245	4	0
56	0.663	0.26	4	-11.577	1	0.0312	0.84	0.000346	0.111	0.32	118.061	3.6224	4	0
68	0.815	0.372	7	-12.814	1	0.0752	0.166	0.000116	0.0767	0.293	101.684	3.62245	4	0
46	0.55	0.239	3	-14.178	1	0.0355	0.948	0.0201	0.113	0.184	75.086	3.629116667	4	0
36	0.563	0.265	3	-10.563	1	0.0321	0.972	0.0164	0.12	0.26	132.207	3.630283333	4	0
30	0.566	0.245	3	-14.907	1	0.0407	0.911	3.47E-05	0.107	0.492	75.062	3.633283333	4	0
9	0.478	0.651	2	-5.559	0	0.0621	0.29	7.72E-05	0.49	0.577	93.191	3.6345	4	0
48	0.504	0.315	9	-11.79	0	0.0286	0.775	3.49E-06	0.112	0.27	101.298	3.6397	4	0
51	0.546	0.411	2	-9.308	1	0.0475	0.701	9.73E-05	0.0955	0.528	79.785	3.6417	4	0
41	0.36	0.332	11	-12.87	1	0.029	0.796	0.00274	0.104	0.632	71.516	3.645666667	4	0
22	0.563	0.542	11	-5.414	1	0.114	0.951	1.68E-05	0.0954	0.653	83.226	3.648866667	4	0
25	0.558	0.515	2	-9.424	1	0.0404	0.486	5.66E-05	0.112	0.55	128.347	3.658916667	4	0
38	0.526	0.357	8	-9.876	1	0.0269	0.54	0.801	0.119	0.293	142.607	3.661333333	4	0
46	0.606	0.204	4	-15.159	1	0.0416	0.717	6.13E-06	0.127	0.434	130.078	3.6687	4	0
42	0.479	0.58	2	-8.793	1	0.0403	0.603	1.62E-05	0.0745	0.384	95.994	3.670216667	4	0
65	0.607	0.142	7	-23.455	1	0.0382	0.843	0.000197	0.121	0.305	118.867	3.67333333	4	0
22	0.389	0.698	8	-7.214	0	0.0314	0.00026	0.216	0.135	0.405	90.853	3.681966667	4	0
50	0.573	0.494	7	-8.938	0	0.0735	0.48	0.0259	0.121	0.762	149.883	3.691266667	4	0
25	0.274	0.834	2	-5.982	0	0.0443	0.56	0.688	0.384	0.079	89.483	3.7	4	0
44	0.566	0.646	5	-9.456	1	0.0308	0.646	0.581	0.168	0.572	114.844	3.708233333	4	0
40	0.44	0.478	2	-16.361	1	0.0326	0.363	0.0407	0.121	0.54	160.107	3.708333333	4	0
42	0.362	0.317	1	-10.549	0	0.0319	0.917	0.000501	0.112	0.314	102.415	3.708833333	4	0
42	0.433	0.599	9	-7.293	1	0.0717	0.479	2.04E-06	0.12	0.338	71.798	3.70965	4	0
32	0.51	0.415	6	-13.368	0	0.0322	0.703	0.568	0.1	0.204	120.889	3.71355	4	0
13	0.363	0.249	1	-11.431	1	0.0346	0.926	0.000119	0.107	0.24	86.741	3.714216667	4	0
48	0.544	0.36	4	-11.862	1	0.0287	0.798	0.00481	0.112	0.763	153.206	3.71445	4	0
46	0.653	0.5	6	-9.179	1	0.0257	0.104	9.12E-06	0.0892	0.347	131.045	3.72626667	4	0
39	0.686	0.579	5	-8.183	0	0.0225	0.245	0.00327	0.113	0.5	102.013	3.728216667	4	0
42	0.645	0.355	4	-8.699	1	0.0287	0.665	0.0241	0.088	0.383	80.407	3.728566667	4	0
39	0.57	0.571	7	-7.282	1	0.0291	0.00995	0.000181	0.133	0.25	134.012	3.746266667	4	0
52	0.49	0.296	6	-9.589	0	0.0485	0.819	0.000979	0.691	0.498	160.824	3.75056667	4	0
23	0.578	0.455	11	-11.265	1	0.0252	0.813	0.0532	0.112	0.217	99.988	3.763333333	4	0
39	0.541	0.392	7	-10.635	1	0.0445	0.539	5.57E-05	0.0864	0.351	152.993	3.76665	4	0
63	0.553	0.506	4	-13.271	0	0.046	0.144	3.78E-06	0.438	0.51	143.278	3.77021667	4	0
34	0.427	0.0767	4	-13.472	0	0.0442	0.981	1.73E-06	0.0599	0.352	104.699	3.779116667	4	0
60	0.46	0.586	9	-6.32	1	0.0281	0.446	1.74E-05	0.0831	0.489	122.014	3.78266667	4	0
38	0.597	0.576	7	-5.276	1	0.0259	0.623	1.14E-06	0.109	0.754	112.436	3.792583333	4	0
61	0.631	0.402	5	-11.125	1	0.0286	0.616	0.0114	0.0892	0.598	78	3.808	4	0
39	0.578	0.715	5	-9.41	1	0.0341	0.088	0.000808	0.185	0.895	155.885	3.812	4	0
37	0.522	0.54	4	-8.743	1	0.0356	0.0513	0.000206	0.0788	0.267	132.087	3.81445	4	0
37	0.559	0.457	10	-9.995	1	0.0291	0.517	3.39E-05	0.105	0.457	105.034	3.816633333	4	0
54	0.73	0.403	4	-10.146	1	0.0483	0.718	0.00242	0.0985	0.502	124.901	3.82045	4	0
63	0.409	0.172	6	-16.44	0	0.0389	0.922	0.00112	0.111	0.352	132.151	3.82155	4	0
53	0.651	0.414	2	-10.572	1	0.0301	0.524	0.00267	0.118	0.445	111.175	3.83266667	4	0
66	0.388	0.66	11	-7.372	1	0.0308	0.312	0.000307	0.0943	0.401	143.554	3.84178333	4	0
25	0.629	0.423	5	-9.879	1	0.0274	0.624	0.00417	0.0853	0.235	139.907	3.8527	4	0
30	0.8	0.382	3	-10.219	1	0.0277	0.382	0.00077	0.0855	0.524	111.944	3.8544	4	0
43	0.448	0.263	2	-10.362	1	0.0459	0.708	1.87E-06	0.119	0.423	88.109	3.86246667	4	0
36	0.431	0.37	3	-10.826	1	0.0343	0.424	0.026	0.134	0.384	96.242	3.867783333	4	0
34	0.571	0.477	2	-12.319	1	0.0392	0.6	0.391	0.111	0.466	77.954	3.88453333	4	0
50	0.446	0.239	6	-11.092	1	0.0435	0.942	4.16E-05	0.11	0.575	75.54	3.91293333	4	0
13	0.408	0.716	1	-6.049	1	0.0438	0.599	0.000545	0.0764	0.332	113.932	3.916666667	4	0
36	0.625	0.196	9	-11.448	1	0.0375	0.834	0.00185	0.0931	0.3	119.637	3.93045	4	0
21	0.477	0.575	11	-7.948	1	0.0293	0.193	0.00153	0.341	0.106	118.533	3.939916667	4	0
61	0.429	0.371	1	-11.803	1	0.0351	0.768	0.00181	0.119	0.305	129.842	3.96301667	4	0
44	0.446	0.241	2	-12.103	1	0.031	0.596	1.29E-05	0.131	0.118	124.355	3.97733333	4	0
25	0.508	0.65	9	-9.123	1	0.0286	0.404	0.349	0.0664	0.173	99.925	3.987	4	0
38	0.507	0.44	11	-8.975	1	0.043	0.356	0.829	0.103	0.416	169.474	3.9906	4	0
60	0.568	0.558	9	-8.553	1	0.0278	0.724	0.000331	0.116	0.287	104.991	3.99933333	4	0
53	0.601	0.799	6	-7.069	0	0.0357	0.0861	0.0388	0.0898	0.688	160.987	4.006	4	0
50	0.46	0.842	7	-4.937	1	0.0373	0.0827	0.448	0.147	0.342	96.012	4.012216667	4	0
40	0.467	0.114	7	-13.973	1	0.0318	0.941	2.25E-05	0.292	0.24	134.647	4.012233333	4	0
49	0.372	0.444	5	-9.036	1	0.0295	0.82	7.28E-05	0.141	0.357	162.3	4.02066667	4	0
11	0.55	0.486	5	-11	1	0.0264	0.62	0.821	0.171	0.311	79.988	4.05	4	0
45	0.325	0.342	7	-8.86	1	0.0358	0.748	6.63E-05	0.101	0.264	92.08	4.05333333	4	0
30	0.538	0.507	2	-11.016	1	0.0312	0.029	0.264	0.354	0.169	103.021	4.065783333	4	0
75	0.606	0.457	6	-14.035	0	0.0497	0.713	2.53E-05	0.0747	0.813	92.033	4.06711667	4	0
63	0.514	0.755	11	-8.455	1	0.03	0.354	0.0664	0.144	0.599	77.415	4.069783333	4	0
48	0.59	0.575	1	-6.42	0	0.0246	0.602	0.067	0.128	0.5	79.563	4.076216667	4	0
44	0.467	0.324	1	-11.487	1	0.0309	0.761	5.73E-06	0.122	0.445	100.89	4.08111667	4	0
56	0.366	0.262	2	-12.635	1	0.0322	0.767	2.06E-05	0.119	0.181	151.11	4.09845	4	0
12	0.583	0.405	9	-9.74	0	0.0267	0.495	0.106	0.0782	0.323	76.078	4.10645	4	0
42	0.75	0.343	9	-11.318	1	0.0268	0.612	0.436	0.0893	0.198	104	4.111116667	4	0
47	0.547	0.835	8	-7.033	1	0.0372	0.0731	0.589	0.111	0.388	177.143	4.113333333	4	0
48	0.477	0.297	3	-13.955	1	0.0328	0.664	0.000595	0.103	0.455	137.067	4.11836667	4	0
